epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,6164.36,0.44536,0.65613,0.95584,0.82421,0.708,0.77661,0.67918,0.42152,0.87726,0.91938,0.00722386,0.00722386,0.00722386
86,6235.93,0.45345,0.6649,0.96711,0.77777,0.71191,0.77747,0.67621,0.41385,0.88362,0.91514,0.00719081,0.00719081,0.00719081
87,6307.45,0.45506,0.66214,0.9679,0.81534,0.68806,0.7705,0.6665,0.4184,0.9089,0.91192,0.00715776,0.00715776,0.00715776
88,6379.03,0.44669,0.643,0.96069,0.83729,0.68123,0.77753,0.6728,0.41815,0.88713,0.91609,0.00712471,0.00712471,0.00712471
89,6450.65,0.44769,0.6314,0.96296,0.83372,0.68733,0.78104,0.68599,0.41443,0.8856,0.91423,0.00709166,0.00709166,0.00709166
90,6523.77,0.44786,0.62549,0.96766,0.8429,0.68085,0.77097,0.67382,0.41536,0.89105,0.91161,0.00705861,0.00705861,0.00705861
91,6595.5,0.44926,0.63808,0.96084,0.80903,0.69228,0.78245,0.6823,0.41736,0.88728,0.91574,0.00702556,0.00702556,0.00702556
92,6667.03,0.43656,0.63156,0.95343,0.83869,0.69069,0.77534,0.67914,0.40739,0.8964,0.90689,0.00699251,0.00699251,0.00699251
93,6738.59,0.43866,0.6059,0.95693,0.85516,0.67239,0.78275,0.68288,0.41634,0.87912,0.91451,0.00695946,0.00695946,0.00695946
94,6810.35,0.43451,0.61351,0.94715,0.81431,0.71984,0.79002,0.68777,0.40371,0.8272,0.90483,0.00692641,0.00692641,0.00692641
95,6883.38,0.43521,0.59714,0.94868,0.84787,0.68079,0.77857,0.67826,0.40794,0.87858,0.90861,0.00689336,0.00689336,0.00689336
96,6954.79,0.43298,0.59914,0.94934,0.82297,0.71112,0.77271,0.67898,0.41046,0.88017,0.90902,0.00686031,0.00686031,0.00686031
97,7026.36,0.42845,0.59937,0.94948,0.80981,0.67997,0.76897,0.67499,0.41041,0.88725,0.92041,0.00682726,0.00682726,0.00682726
98,7098.22,0.43442,0.58715,0.94508,0.82806,0.6996,0.78213,0.6866,0.40369,0.84443,0.91238,0.00679421,0.00679421,0.00679421
99,7169.68,0.43216,0.58876,0.94822,0.80956,0.72385,0.78704,0.69766,0.39708,0.85276,0.90714,0.00676117,0.00676117,0.00676117
100,7242.57,0.42566,0.58686,0.94723,0.85531,0.6922,0.79106,0.70269,0.39606,0.87373,0.90477,0.00672812,0.00672812,0.00672812
101,7315.03,0.41995,0.57319,0.9464,0.83583,0.67176,0.78315,0.68835,0.40458,0.88559,0.90512,0.00669507,0.00669507,0.00669507
102,7386.37,0.42752,0.58652,0.94854,0.80986,0.711,0.79427,0.69547,0.40076,0.85171,0.91249,0.00666202,0.00666202,0.00666202
103,7458.04,0.42117,0.55993,0.94686,0.82103,0.73493,0.80716,0.71338,0.395,0.84954,0.89955,0.00662897,0.00662897,0.00662897
104,7531.07,0.41879,0.57404,0.93986,0.83333,0.71368,0.80815,0.7131,0.39661,0.81964,0.91182,0.00659592,0.00659592,0.00659592
105,7602.99,0.42248,0.56312,0.94329,0.82592,0.68482,0.79067,0.69853,0.4014,0.84669,0.91103,0.00656287,0.00656287,0.00656287
106,7674.64,0.41798,0.56724,0.94203,0.79187,0.71956,0.79291,0.70272,0.39325,0.87712,0.90266,0.00652982,0.00652982,0.00652982
107,7746.07,0.42823,0.5823,0.94993,0.83201,0.70084,0.78975,0.69811,0.39274,0.83782,0.90921,0.00649677,0.00649677,0.00649677
108,7817.42,0.41439,0.54486,0.94604,0.83644,0.69908,0.79135,0.70735,0.39614,0.87184,0.90991,0.00646372,0.00646372,0.00646372
109,7888.91,0.40836,0.53531,0.93369,0.84598,0.70775,0.80167,0.7129,0.39016,0.84691,0.90231,0.00643067,0.00643067,0.00643067
110,7960.67,0.4112,0.53496,0.94582,0.86558,0.70013,0.81,0.72065,0.39573,0.85267,0.91128,0.00639762,0.00639762,0.00639762
111,8033.74,0.40959,0.55073,0.9427,0.84199,0.70493,0.8004,0.7079,0.38947,0.86023,0.90513,0.00636457,0.00636457,0.00636457
112,8105.24,0.41446,0.54872,0.9407,0.82421,0.71946,0.80641,0.71294,0.38919,0.86941,0.90727,0.00633152,0.00633152,0.00633152
113,8176.87,0.40701,0.55331,0.94193,0.83118,0.68881,0.7882,0.69425,0.39322,0.8605,0.91067,0.00629847,0.00629847,0.00629847
114,8248.05,0.41329,0.55205,0.94382,0.84008,0.7229,0.80486,0.70918,0.39551,0.82906,0.91128,0.00626543,0.00626543,0.00626543
115,8319.69,0.40785,0.54737,0.93766,0.79792,0.72701,0.79991,0.70648,0.38728,0.84392,0.90536,0.00623238,0.00623238,0.00623238
116,8391.63,0.41538,0.53218,0.94165,0.83299,0.7115,0.79861,0.71097,0.38476,0.85062,0.90292,0.00619933,0.00619933,0.00619933
117,8463.1,0.39894,0.52645,0.93402,0.81007,0.73721,0.80303,0.71534,0.38176,0.84206,0.90411,0.00616628,0.00616628,0.00616628
118,8534.67,0.40044,0.52261,0.93118,0.79662,0.73978,0.78566,0.70282,0.38644,0.85387,0.90916,0.00613323,0.00613323,0.00613323
119,8606.56,0.40371,0.5202,0.93702,0.85673,0.68477,0.79591,0.70554,0.38339,0.85015,0.91048,0.00610018,0.00610018,0.00610018
120,8678.46,0.40047,0.514,0.93323,0.83494,0.7038,0.80223,0.71465,0.38195,0.84752,0.90272,0.00606713,0.00606713,0.00606713
121,8750.21,0.39997,0.51466,0.92873,0.85971,0.69456,0.80728,0.71855,0.38088,0.83551,0.90599,0.00603408,0.00603408,0.00603408
122,8821.83,0.40171,0.52424,0.93335,0.81222,0.73182,0.80281,0.71411,0.37055,0.82629,0.89957,0.00600103,0.00600103,0.00600103
123,8893.27,0.40113,0.50392,0.93231,0.83597,0.70261,0.79299,0.70606,0.36985,0.83658,0.8942,0.00596798,0.00596798,0.00596798
124,8964.69,0.39481,0.51343,0.9339,0.87974,0.70432,0.80303,0.7157,0.3704,0.82952,0.89232,0.00593493,0.00593493,0.00593493
125,9036.49,0.38349,0.49029,0.91958,0.84275,0.71717,0.80219,0.71642,0.36851,0.83401,0.89583,0.00590188,0.00590188,0.00590188
