epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,10887.2,0.46723,0.80989,1.4229,0.78484,0.64661,0.74134,0.64991,0.40934,0.96317,1.35666,0.00292833,0.00292833,0.00292833
148,10959.2,0.46013,0.80895,1.4245,0.8354,0.65066,0.75912,0.66333,0.41032,0.95394,1.35775,0.00291003,0.00291003,0.00291003
149,11034.3,0.46643,0.80808,1.42485,0.8203,0.65443,0.75711,0.66316,0.41409,0.94485,1.35712,0.00289173,0.00289173,0.00289173
150,11106.6,0.46328,0.79788,1.42265,0.80539,0.66704,0.75065,0.65669,0.40978,0.94821,1.34769,0.00287343,0.00287343,0.00287343
151,11179.5,0.46336,0.80207,1.42331,0.8017,0.65153,0.74533,0.65318,0.41092,0.9425,1.34788,0.00285513,0.00285513,0.00285513
152,11252.4,0.45811,0.77121,1.4159,0.82092,0.64248,0.74979,0.65379,0.4112,0.96664,1.35219,0.00283683,0.00283683,0.00283683
153,11325.1,0.45206,0.77069,1.41522,0.81678,0.65945,0.75916,0.66041,0.41316,0.94666,1.35478,0.00281853,0.00281853,0.00281853
154,11397.6,0.46301,0.79117,1.42134,0.82608,0.66537,0.7626,0.66161,0.40923,0.93421,1.3542,0.00280023,0.00280023,0.00280023
155,11470.2,0.44748,0.75646,1.39645,0.80709,0.66222,0.75639,0.66146,0.40858,0.9366,1.35876,0.00278194,0.00278194,0.00278194
156,11542.9,0.45568,0.77516,1.41367,0.83699,0.65282,0.7536,0.66159,0.40734,0.93995,1.35824,0.00276364,0.00276364,0.00276364
157,11615.9,0.44972,0.75185,1.40287,0.80558,0.68338,0.75096,0.66354,0.40512,0.93235,1.35644,0.00274534,0.00274534,0.00274534
158,11690.5,0.44489,0.73952,1.39732,0.78726,0.68934,0.75126,0.66212,0.40157,0.92691,1.35165,0.00272704,0.00272704,0.00272704
159,11763.2,0.44299,0.74472,1.39574,0.81292,0.67103,0.75355,0.66406,0.40311,0.93994,1.35068,0.00270874,0.00270874,0.00270874
160,11837.6,0.45088,0.74865,1.41103,0.77274,0.68962,0.75699,0.66265,0.40167,0.93373,1.34817,0.00269044,0.00269044,0.00269044
161,11910.1,0.44104,0.74163,1.39832,0.77796,0.69412,0.74406,0.65632,0.39829,0.94677,1.34128,0.00267214,0.00267214,0.00267214
162,11982.4,0.44138,0.7346,1.40432,0.78048,0.67684,0.7393,0.65314,0.39707,0.9543,1.33521,0.00265384,0.00265384,0.00265384
163,12054.8,0.44515,0.72917,1.40552,0.8055,0.66559,0.74234,0.6527,0.40111,0.94216,1.344,0.00263554,0.00263554,0.00263554
164,12127.6,0.44033,0.73999,1.39996,0.81447,0.65503,0.75123,0.66027,0.39934,0.93354,1.34558,0.00261724,0.00261724,0.00261724
165,12200.1,0.4332,0.71196,1.39321,0.79359,0.6604,0.74496,0.65433,0.39826,0.94096,1.34304,0.00259894,0.00259894,0.00259894
166,12272.6,0.43833,0.72627,1.39868,0.81968,0.65706,0.74724,0.6535,0.39643,0.95366,1.33899,0.00258065,0.00258065,0.00258065
167,12345.4,0.44556,0.74034,1.4131,0.7741,0.68557,0.74668,0.65477,0.39785,0.94536,1.34353,0.00256235,0.00256235,0.00256235
168,12418.4,0.44419,0.73688,1.40423,0.81471,0.64629,0.74696,0.65987,0.39445,0.96447,1.33214,0.00254405,0.00254405,0.00254405
169,12491,0.43699,0.71227,1.39023,0.80773,0.65952,0.74668,0.6555,0.38982,0.96883,1.32816,0.00252575,0.00252575,0.00252575
170,12563.9,0.435,0.70532,1.3892,0.7989,0.66181,0.75169,0.65806,0.39285,0.9501,1.33135,0.00250745,0.00250745,0.00250745
171,12636.6,0.43401,0.71519,1.39198,0.78479,0.6767,0.75376,0.66354,0.3958,0.94645,1.3417,0.00248915,0.00248915,0.00248915
172,12709.1,0.42313,0.69311,1.39071,0.82782,0.66856,0.76244,0.6717,0.39371,0.94057,1.34365,0.00247085,0.00247085,0.00247085
173,12784,0.42898,0.68373,1.3843,0.802,0.68062,0.75872,0.66636,0.39513,0.94404,1.34592,0.00245255,0.00245255,0.00245255
174,12856.4,0.43147,0.68761,1.40089,0.86763,0.6587,0.77303,0.67585,0.3911,0.92274,1.34118,0.00243425,0.00243425,0.00243425
175,12931.3,0.41775,0.67609,1.37623,0.87376,0.65766,0.76416,0.66823,0.38884,0.93484,1.3358,0.00241595,0.00241595,0.00241595
176,13003.9,0.42515,0.6959,1.38003,0.86697,0.65333,0.76674,0.66972,0.39322,0.93797,1.34212,0.00239765,0.00239765,0.00239765
177,13076.4,0.42557,0.68111,1.39278,0.83834,0.66494,0.76558,0.67163,0.3916,0.93351,1.3397,0.00237935,0.00237935,0.00237935
178,13149.1,0.4304,0.68605,1.38107,0.80013,0.69112,0.75996,0.66911,0.39003,0.93751,1.33498,0.00236106,0.00236106,0.00236106
179,13221.9,0.4228,0.66984,1.38515,0.79896,0.68476,0.75604,0.66839,0.38582,0.93205,1.33258,0.00234276,0.00234276,0.00234276
180,13294.8,0.42427,0.67127,1.3869,0.81607,0.67432,0.76262,0.67332,0.38358,0.92429,1.33567,0.00232446,0.00232446,0.00232446
